173,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา Calendar Detail ไม่ Show,ไม่ทราบสาเหตุ,Set Show High Detail Calendar ข้อมูล Show สามารถใช้งานได้ปกติ
174,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา Calendar ไม่ Show,ไม่ทราบสาเหตุ,Set Show Calendar สามารถใช้งานได้ปกติ
175,Security services,Security services,Username&Password,Outlook (2010/2013/2016) พบปัญหา E-mail เข้าใช้งานไม่ได้,ขึ้นให้ใส่ Username Password,แนะนำเจ้าหน้าที่/แพทย์ ใส่ Username/Password สามารถใช้งานได้ปกติ
176,IMAC Service,Install,Smart Phone,Outlook Web พบปัญหา เข้าใช้งานไม่ได้ (โทรศัพท์ส่วนตัวแพทย์),Setup Server ไม่ถูกต้อง (แพทย์ Setup เอง),Setup Server Outlook เรียบร้อย
177,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา E-mail เข้าใช้งานไม่ได้ Error,Error : Cannot open your default E-mail folders,
178,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา E-mail เข้าใช้งานไม่ได้ Error,Error : Cannot start Microsoft Outlook.Cannot open the Outlook window.The set of folders cannot be opened.The information store could not be opened.,
179,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา E-mail เข้าใช้งานไม่ได้ Error,Error : Microsoft Outlook has stopped working,
180,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา E-mail ใน Inbox Delay,ไม่ทราบสาเหตุ,ประสานงาน ทีม Noc ตรวจสอบ (.....) เรียบร้อย
181,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา E-mail ไม่ Update.,ไม่ทราบสาเหตุ,กด Send/Receive Update Folder สามารถใช้งานได้
182,"Infrastructure, System & Network Services",Network Services,Internet Services,Outlook (2010/2013/2016) พบปัญหา E-mail ไม่ Update.,Proxy Internet Explorer : ................... มีปัญหา,Set Proxy Internet Explorer สามารถใช้งานได้ปกติ
183,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา E-mail แสดงไม่ครบ,ไม่ทราบสาเหตุ,
184,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา Font Subject มีขนาดเล็ก,ไม่ทราบสาเหตุ,Install Patch Outlook 2016 สามารถใช้งานได้ปกติ
185,Software,Microsoft Office,Outlook,Outlook (2010/2013/2016) พบปัญหา Processing นาน,Profile Outlook เสีย,Setting Profile Outlook ใหม่ สามารถใช้งานได้ปกติ
